Experiment;Sample date;Time (years);ambient CO2;increased CO2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);2006;9.00;4073;3444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);2007;10.00;4382;3268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen (+O3);2008;11.00;4783;3141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;2001;4.00;3256;3817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;2003;6.00;3347;3274;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;2004;7.00;3408;3457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;2005;8.00;3653;3436;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;2006;9.00;4433;4196;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;2007;10.00;4125;3832;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch;2008;11.00;3484;3946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);2001;4.00;3305;3121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);2003;6.00;4105;3798;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);2004;7.00;2943;3255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);2005;8.00;3578;3351;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);2006;9.00;4083;4064;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);2007;10.00;3909;4290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Birch (+O3);2008;11.00;4113;3849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;2001;4.00;2908;3541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;2003;6.00;3327;3186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;2004;7.00;3135;3270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;2005;8.00;4206;3960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;2006;9.00;4023;3850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;2007;10.00;4014;4450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel;2008;11.00;3948;4675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);2001;4.00;3449;3334;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);2003;6.00;3512;2961;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);2004;7.00;3321;3240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);2005;8.00;3564;3376;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);2006;9.00;4115;3739;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);2007;10.00;3982;3737;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FACTS II - Aspen/Mapel (+O3);2008;11.00;4093;3723;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GiFACE;1998;0.00;3420;3528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GiFACE;2007;9.08;3150;3096;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;2004;2.00;1725;1767;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;2004;2.50;1707;1641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;2005;3.00;1805;1744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;2005;3.50;1567;1588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;2006;4.00;1680;1717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hohenheim;2006;4.50;1721;1763;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;1992;0.00;2646;2646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;1993;1.41;2646;2354;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;1994;2.41;2252;2339;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;1995;3.41;2315;2315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;1996;4.41;2497;2486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jasper Ridge - sandstone;1997;5.41;2612;2750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Control;2000;2.00;2384;2344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Control;2006;8.00;2428;2173;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Burn;2000;2.00;2296;2497;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Burn;2006;8.00;2544;2269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N;2000;2.00;2248;2381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N;2006;8.00;2552;2329;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N x Burn;2000;2.00;2359;2425;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - N x Burn;2006;8.00;2529;2226;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water;2000;2.00;2292;2268;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water;2006;8.00;2311;2085;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x Burn;2000;2.00;2394;2563;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x Burn;2006;8.00;2396;2301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N;2000;2.00;2193;2264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N;2006;8.00;2626;2442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N x Burn;2000;2.00;2251;2569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Water x N x Burn;2006;8.00;2232;2385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat;2000;2.00;2298;2295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat;2006;8.00;2385;2438;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x N;2000;2.00;2288;2454;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x N;2006;8.00;2283;2449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water;2000;2.00;2327;2310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water;2006;8.00;2074;2414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water x N;2000;2.00;2393;2453;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JRGCE - Heat x Water x N;2006;8.00;2110;2407;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;1996;0.62;1209;1335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;1998;2.09;1131;1220;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;1998;2.17;1264;1292;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;1998;2.31;1356;1281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;1998;2.55;1734;1567;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;1999;3.36;1782;1712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;2001;4.87;2191;1941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;2002;6.00;2099;1741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;2002;6.00;1999;1628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Merritt Island;2007;11.00;1512;1411;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;1997;0.00;2685;2465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;1998;1.00;2650;2490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;1999;2.00;2655;2525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2000;3.00;2675;2565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2001;4.00;2515;2445;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2002;5.00;2585;2490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2003;6.00;2519;2510;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2004;7.00;2599;2534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2005;8.00;2659;2659;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2006;9.00;2657;2722;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NewZealandFACE;2007;10.00;2722;2822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;;0.00;2112;2122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;;0.25;2122;2143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;;0.50;1969;1980;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand Greenhouse;;0.75;1969;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - P. radiata;1994;0.00;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - P. radiata;2000;6.00;412;530;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - N. fusca;1994;0.00;100;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
New Zealand OTC - N. fusca;2000;6.00;2403;3402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;1997;0.00;2672;2791;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;2000;2.42;2785;2866;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;2002;4.33;2730;2991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORNL FACE;2009;11.00;3370;3850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - low N;1991;0.00;8400;8000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - low N;1993;1.75;7600;7600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - low N;1996;5.50;7400;7600;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - medium N;1991;0.00;7800;7900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - medium N;1993;1.75;7700;7800;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - medium N;1996;5.50;7400;8300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - high N;1991;0.00;8100;7500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - high N;1993;1.75;7500;8500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Placerville - high N;1996;5.50;7400;8100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;1999;0.00;1320;1128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;2000;1.00;1365;1195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;2001;2.00;1524;1295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;2003;4.00;1629;1377;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - alba;2004;5.00;1647;1480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;1999;0.00;1252;1165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;2000;1.00;1429;1213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;2001;2.00;1405;1084;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;2003;4.00;1635;1431;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - euramericana;2004;5.00;1686;1370;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;1999;0.00;1379;1149;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;2000;1.00;1458;1169;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;2001;2.00;1534;1112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;2003;4.00;1518;1246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
POPFACE - nigra;2004;5.00;1509;1344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;1995;0.00;617;645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;1997;1.00;527;542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;1998;2.00;488;522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;1999;3.00;618;616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shortgrass prairie;2000;4.00;603;593;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SoyFACE;2001;0.00;4803;4142;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SoyFACE;2006;5.00;4671;4100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SoyFACE;2007;6.00;4437;3836;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;1995;2.00;2878;2862;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;1996;3.00;2796;3584;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;1997;4.00;2855;2790;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;1998;5.00;3305;3368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;1999;6.00;2970;2946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;2000;7.00;2606;2759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;2001;8.00;3733;3834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;2002;9.00;3350;3498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - low N;2003;10.00;3293;3198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;1995;2.00;3528;3223;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;1996;3.00;3052;3892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;1997;4.00;3075;3091;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;1998;5.00;3494;3606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;1999;6.00;2986;3045;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;2000;7.00;2920;2588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;2001;8.00;3434;3114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;2002;9.00;3302;3439;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- grass - high N;2003;10.00;3258;3332;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;1995;2.00;2822;2872;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;1996;3.00;3048;3500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;1997;4.00;2862;2931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;1998;5.00;3034;3291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;1999;6.00;2758;2911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;2000;7.00;2544;2987;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;2001;8.00;3443;3145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;2002;9.00;3053;3591;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - low N;2003;10.00;2999;3076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;1995;2.00;2916;3496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;1996;3.00;3256;3688;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;1997;4.00;2725;2996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;1998;5.00;3233;3406;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;1999;6.00;2759;3153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;2000;7.00;2630;2434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;2001;8.00;3528;3572;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SwissFACE- clover - high N;2002;9.00;3209;3456;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
